feature,cat0,cat1,cat2,cat3
f0,0.10515247108307045,0.5005257623554153,0.3943217665615142,
f1,0.09779179810725552,0.012618296529968454,0.33753943217665616,0.5520504731861199
f2,0.20189274447949526,0.019978969505783387,0.7781282860147214,
f3,0.5909568874868559,0.40904311251314407,,
f4,0.20609884332281808,0.20399579390115669,0.21766561514195584,0.3722397476340694
f5,0.43112513144058884,0.41324921135646686,0.15562565720294427,
f6,0.07781282860147214,0.10094637223974763,0.38485804416403785,0.4363827549947424
f7,0.016824395373291272,0.006309148264984227,0.05573080967402734,0.9211356466876972
f8,0.0946372239747634,0.8811777076761304,0.01892744479495268,0.005257623554153523
f9,0.31019978969505785,0.10094637223974763,0.14090431125131442,0.4479495268138801
f10,0.40904311251314407,0.5173501577287066,0.07360672975814932,
f11,0.22187171398527866,0.40063091482649843,0.23764458464773922,0.1398527865404837
f12,0.35541535226077814,0.10515247108307045,0.5394321766561514,
f13,0.4395373291272345,0.19768664563617244,0.32597266035751843,0.03680336487907466
f14,0.08201892744479496,0.15667718191377497,0.7613038906414301,
f15,0.5615141955835962,0.028391167192429023,0.17770767613038907,0.2323869610935857
f16,0.9579390115667719,0.04206098843322818,,
f17,0.7486855941114616,0.07570977917981073,0.02103049421661409,0.15457413249211358
f18,0.007360672975814932,0.14931650893796003,0.8212407991587802,0.022082018927444796
f19,0.9411146161934806,0.058885383806519455,,
f20,0.03259726603575184,0.9674027339642481,,
f21,0.35541535226077814,0.5141955835962145,0.10094637223974763,0.029442691903259727
f22,0.4174553101997897,0.3207150368033649,0.2618296529968454,
f23,0.8675078864353313,0.09989484752891693,0.03259726603575184,
f24,0.029442691903259727,0.31335436382754994,0.046267087276550996,0.6109358569926393
f25,0.8212407991587802,0.17875920084121977,,
f26,0.04206098843322818,0.8759200841219769,0.016824395373291272,0.06519453207150368
f27,0.4889589905362776,0.13354363827549948,0.24079915878023134,0.1366982124079916
f28,0.45846477392218715,0.3470031545741325,0.09779179810725552,0.09674027339642481
f29,0.5352260778128286,0.4647739221871714,,
